what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265216253209
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265216253706
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265216253972
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265216254130
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265216266821
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1265216281052
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265216284143
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265216286564
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265216288178
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265216291620
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265216305717
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1265216324238
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265216327252
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265216361383
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265216362353
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265216402586
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265216417459
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265216419436
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265216421273
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265216425860
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265216482293
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265216508596
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265216508717
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265216508890
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1265216509036
